info: Sun Mar 13 2022 10:28:06 GMT+0100 (Central European Standard Time) | Initialising Kernel...
info: Sun Mar 13 2022 10:28:06 GMT+0100 (Central European Standard Time) | Initialising ExpressStatusMonitor...
info: Sun Mar 13 2022 10:28:06 GMT+0100 (Central European Standard Time) | Initializing status monitor middleware...
info: Sun Mar 13 2022 10:28:06 GMT+0100 (Central European Standard Time) | Initialising Cors...
info: Sun Mar 13 2022 10:28:06 GMT+0100 (Central European Standard Time) | Initializing CORS middleware...
info: Sun Mar 13 2022 10:28:06 GMT+0100 (Central European Standard Time) | Initialising Csrf...
info: Sun Mar 13 2022 10:28:06 GMT+0100 (Central European Standard Time) | Initializing CSRF middleware...
info: Sun Mar 13 2022 10:28:06 GMT+0100 (Central European Standard Time) | Initialising Http...
info: Sun Mar 13 2022 10:28:06 GMT+0100 (Central European Standard Time) | Initializing HTTP middleware...
error: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | TypeError: JwtStrategy requires a secret or key
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Initialising Kernel complete!
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Loading the mongo database
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Loading the express server...
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Initialising Kernel...
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Initialising ExpressStatusMonitor...
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Initializing status monitor middleware...
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Initialising Cors...
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Initializing CORS middleware...
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Initialising Csrf...
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Initializing CSRF middleware...
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Initialising Http...
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Initializing HTTP middleware...
error: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | TypeError: JwtStrategy requires a secret or key
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Initialising Kernel complete!
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Loading the mongo database
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Loading the express server...
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Initialising Kernel...
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Initialising ExpressStatusMonitor...
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Initializing status monitor middleware...
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Initialising Cors...
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Initializing CORS middleware...
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Initialising Csrf...
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Initializing CSRF middleware...
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Initialising Http...
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Initializing HTTP middleware...
error: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | TypeError: JwtStrategy requires a secret or key
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Initialising Kernel complete!
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Loading the mongo database
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Loading the express server...
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Initialising Kernel...
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Initialising ExpressStatusMonitor...
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Initializing status monitor middleware...
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Initialising Cors...
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Initializing CORS middleware...
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Initialising Csrf...
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Initializing CSRF middleware...
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Initialising Http...
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Initializing HTTP middleware...
error: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | TypeError: JwtStrategy requires a secret or key
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Initialising Kernel complete!
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Loading the mongo database
info: Sun Mar 13 2022 10:28:07 GMT+0100 (Central European Standard Time) | Loading the express server...
info: Sun Mar 13 2022 10:28:08 GMT+0100 (Central European Standard Time) | Connected to the database
info: Sun Mar 13 2022 10:28:08 GMT+0100 (Central European Standard Time) | Connected to the database
info: Sun Mar 13 2022 10:28:08 GMT+0100 (Central European Standard Time) | Connected to the database
info: Sun Mar 13 2022 10:28:08 GMT+0100 (Central European Standard Time) | Connected to the database
